id,level,category,topic,title,rule,explanation,correct_example_1,correct_example_2,incorrect_example,corrected_example,error_reason,keywords
a2-there-is-there-are,A2,be,there is/there are,There is and there are,Use there is with singular nouns and there are with plural nouns.,Match the verb to the noun that follows.,There is a shop near here.,There are two chairs in the room.,There is two chairs in the room.,There are two chairs in the room.,Use are with plural nouns.,"there is, there are, singular, plural"
a2-this-that-these-those,A2,demonstratives,demonstratives,"This, that, these and those",Use this/these for things near you and that/those for things further away.,This and these are for near. That and those are for far.,These are my keys.,That is my train.,Those is my keys.,Those are my keys.,Use are with those.,"this, that, these, those, demonstratives"
a2-uncountable-quantifiers,A2,nouns,countable and uncountable nouns,"Much, many and a lot of","Use many with countable plural nouns, much with uncountable nouns, and a lot of in positive sentences with both.",Choose the quantifier by the type of noun.,How many books do you have?,There is not much time.,How much books do you have?,How many books do you have?,"Books are countable, so use many.","much, many, a lot of, countable, uncountable"
a2-present-continuous-now,A2,present continuous,present continuous,Present continuous for now,Use am/is/are + verb-ing for actions happening now or around now.,This tense describes temporary actions and events in progress.,She is studying at the moment.,I am talking to a customer now.,She studies at the moment.,She is studying at the moment.,An action happening now needs the present continuous.,"present continuous, now, at the moment, -ing"
a2-present-continuous-arrangements,A2,present continuous,future arrangements,Present continuous for future arrangements,Use the present continuous for fixed future arrangements.,We often use it for plans already decided.,I am meeting my friend tomorrow.,They are flying to Dublin on Friday.,I meet my friend tomorrow.,I am meeting my friend tomorrow.,A planned arrangement usually needs the present continuous.,"present continuous, future arrangements, plans"
a2-past-simple-ed-regular,A2,past simple,regular verbs,Regular past simple verbs,Regular verbs usually add -ed in the past simple.,Use the past simple for finished actions in the past.,We watched a film last night.,He called me yesterday.,We watch a film last night.,We watched a film last night.,A finished past action needs the past simple.,"past simple, regular verbs, -ed, yesterday, last night"
a2-past-simple-irregular,A2,past simple,irregular verbs,Irregular past simple verbs,Some common verbs have irregular past forms and do not add -ed.,"Learn common irregular forms such as went, had and saw.",She went to Italy last year.,I saw your message this morning.,She goed to Italy last year.,She went to Italy last year.,Go has an irregular past form: went.,"past simple, irregular verbs, went, had, saw"
a2-past-simple-negatives,A2,past simple,negatives,Past simple negatives with did not,Use did not + base verb in the negative past simple.,"After did not, the verb stays in the base form.",I did not see the film.,They did not arrive on time.,I did not saw the film.,I did not see the film.,"After did not, use see, not saw.","past simple, negative, did not, didn't"
a2-future-going-to,A2,future forms,going to,Going to for plans and evidence,Use be going to for future plans and for things that look certain now.,It is common for planned actions or clear evidence.,We are going to visit my aunt next week.,Look at the clouds. It is going to rain.,We going to visit my aunt next week.,We are going to visit my aunt next week.,Going to needs am/is/are before it.,"going to, future, plans, prediction"
a2-comparatives-er-more,A2,adjectives,comparatives,Comparatives with -er and more,Use -er with short adjectives and more with longer adjectives.,Use than when comparing two things.,This bag is lighter than that one.,Today is more important than yesterday.,This bag is more light than that one.,This bag is lighter than that one.,"Light is a short adjective, so use lighter.","comparatives, -er, more, than"
a2-comparatives-irregular,A2,adjectives,irregular comparatives,Irregular comparative forms,"Some common adjectives have irregular comparative forms, such as good/better and bad/worse.",These forms do not follow the normal rules.,This solution is better than the first one.,The weather is worse today.,This solution is gooder than the first one.,This solution is better than the first one.,Good has an irregular comparative: better.,"better, worse, irregular comparatives, good, bad"
a2-modal-can-cannot,A2,modal verbs,can and cannot,Can and cannot for ability and permission,Use can and cannot with the base verb to talk about ability and permission.,Can does not change with the subject.,I can drive.,You cannot use this door.,She can to swim.,She can swim.,"After can, use the base verb without to.","can, cannot, ability, permission"
a2-modal-should,A2,modal verbs,should,Should for advice,Use should + base verb to give advice or say what is a good idea.,Should is common when giving recommendations.,You should rest more.,We should leave now.,You should to rest more.,You should rest more.,"After should, use the base verb without to.","should, advice, recommendation"
a2-present-perfect-experience,A2,present perfect,experience,Present perfect for life experience,Use have/has + past participle to talk about experience at an unspecified time before now.,Do not use a finished past time expression with this use.,I have been to Paris.,She has seen that film.,I have been to Paris last year.,I went to Paris last year.,"Last year is a finished past time, so use the past simple.","present perfect, experience, ever, never, have seen"
b1-present-perfect-since-for,B1,present perfect,since and for,Present perfect with since and for,Use since with a starting point and for with a period of time.,Both often describe situations that started in the past and continue now.,We have lived here since 2018.,She has worked here for six months.,We have lived here for 2018.,We have lived here since 2018.,Use since with a point in time.,"present perfect, since, for, duration"
b1-present-perfect-already-yet,B1,present perfect,already and yet,Already and yet with the present perfect,Use already in affirmative sentences and yet in questions and negatives.,"Already means before now. Yet means up to now, often in questions or negatives.",I have already finished my homework.,Have you eaten yet?,I have yet finished my homework.,I have already finished my homework.,Yet is not used like already in an affirmative sentence.,"present perfect, already, yet"
b1-first-conditional,B1,conditionals,first conditional,First conditional for real future possibilities,"Use if + present simple, will + base verb for possible future results.",It describes a real or possible situation in the future.,"If it rains, we will stay at home.","If you study, you will pass the test.","If it will rain, we will stay at home.","If it rains, we will stay at home.","In the if-clause, use the present simple, not will.","first conditional, if, will, future possibilities"
b1-second-conditional,B1,conditionals,second conditional,Second conditional for unreal situations,"Use if + past simple, would + base verb to talk about unreal or imaginary situations.",It is common for hypothetical present or future situations.,"If I had more time, I would travel more.","If she lived nearer, she would visit us often.","If I would have more time, I would travel more.","If I had more time, I would travel more.","In the if-clause, use the past simple, not would.","second conditional, if, would, imaginary situations"
b1-passive-voice-present-past,B1,passive voice,passive voice,Passive voice with be + past participle,Form the passive with be + past participle. The object becomes the subject.,Use the passive when the action is more important than who does it.,The letter was sent yesterday.,English is spoken here.,The letter sent yesterday.,The letter was sent yesterday.,The passive needs a form of be and a past participle.,"passive voice, be, past participle, was sent, is spoken"
b1-passive-agent-by,B1,passive voice,agent by,Using by in passive sentences,Use by to say who or what does the action in a passive sentence.,By introduces the agent.,The house was built by my grandfather.,The song was written by a famous singer.,The house was built from my grandfather.,The house was built by my grandfather.,"Use by, not from, to show the agent in the passive.","passive, by, agent"
b1-gerunds-after-enjoy-mind,B1,gerunds and infinitives,gerunds,Gerunds after certain verbs,"Some verbs are followed by a gerund, for example enjoy, finish and mind.","After these verbs, use the -ing form.",I enjoy reading in bed.,She finished writing the report.,I enjoy to read in bed.,I enjoy reading in bed.,"Enjoy is followed by a gerund, not an infinitive.","gerund, -ing, enjoy, finish, mind"
b1-infinitives-after-want-hope,B1,gerunds and infinitives,infinitives,Infinitives after certain verbs,"Some verbs are followed by an infinitive with to, for example want, hope and decide.","After these verbs, use to + base verb.",I want to start early.,They decided to stay longer.,I want start early.,I want to start early.,Want is followed by to + verb.,"infinitive, to + verb, want, hope, decide"
